player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Najee Harris,2021,PIT,23,307,2.1286,0.0863,0.0417,0.4388
Nick Chubb,2021,CLE,26,228,2.7381,0.0966,0.089,2.0222
Rashaad Penny,2021,SEA,25,119,2.4364,0.0744,0.2257,1.1728
Rex Burkhead,2021,HOU,31,122,1.9292,0.0489,0.0901,-0.6917
Rhamondre Stevenson,2021,NWE,23,133,2.2829,0.0893,-0.0828,0.591
Ronald Jones II,2021,TAM,24,101,2.3028,0.0666,0.1168,0.5186
Saquon Barkley,2021,NYG,24,162,2.0004,0.048,-0.0892,-0.9027
Sony Michel,2021,LAR,26,208,1.8989,0.0725,-0.1029,-0.6111
Tony Pollard,2021,DAL,24,130,2.2606,0.0645,0.1743,0.4957
AJ Dillon,2022,GNB,24,186,1.8594,0.0529,-0.1459,-0.5581
Aaron Jones,2022,GNB,28,213,2.2224,0.0621,0.1793,1.0876
Alvin Kamara,2022,NOR,27,223,1.8548,0.0576,0.0692,-0.0731
Antonio Gibson,2022,WAS,24,149,1.7713,0.0593,0.0172,-0.3336
Austin Ekeler,2022,LAC,27,204,1.9496,0.0469,0.1397,0.0747
Brian Robinson Jr.,2022,WAS,23,205,1.7551,0.0468,0.0114,-0.6264
Cam Akers,2022,LAR,23,188,2.0414,0.061,-0.1478,0.0236
Christian McCaffrey,2022,SFO,26,159,1.8045,0.0501,-0.0394,-0.5429
Cordarrelle Patterson,2022,ATL,31,144,1.9047,0.0424,-0.0173,-0.4147
D'Onta Foreman,2022,CAR,26,203,1.9909,0.0566,-0.0895,-0.0717
Dalvin Cook,2022,MIN,27,264,1.9327,0.0595,0.1561,0.3115
Dameon Pierce,2022,HOU,22,220,2.0876,0.0904,-0.0134,0.9616
Damien Harris,2022,NWE,25,106,1.8718,0.0614,0.0934,0.087
David Montgomery,2022,CHI,25,201,1.9696,0.085,-0.2115,0.2044
Derrick Henry,2022,TEN,28,349,2.2802,0.082,-0.0547,1.1721
Devin Singletary,2022,BUF,25,177,1.9263,0.0566,-0.0456,-0.1407
Ezekiel Elliott,2022,DAL,27,231,1.7202,0.0449,-0.1309,-1.0153
Isiah Pacheco,2022,KAN,23,170,1.7941,0.0405,0.2144,-0.2768
Jamaal Williams,2022,DET,27,262,1.7034,0.053,-0.1681,-0.9663
James Conner,2022,ARI,27,183,1.9163,0.0568,-0.0762,-0.2178
Joe Mixon,2022,CIN,26,210,1.6889,0.0501,0.0079,-0.7242
Jonathan Taylor,2022,IND,23,192,2.2323,0.088,0.1057,1.4795
Josh Jacobs,2022,LVR,24,340,2.1954,0.0824,-0.0588,0.9734
Kareem Hunt,2022,CLE,27,123,1.9663,0.0586,-0.3364,-0.5552
Kenneth Walker III,2022,SEA,22,228,1.864,0.0537,-0.0283,-0.3112
