year,player,team,age,att,yac_att,brk_rate,ol_adj_ybc,z_yac,z_brk,z_ol,LINX,ypc_above_team
2020,Wayne Gallman,NYG,26,147,2.4626,0.068,0.2124,0.7375,-0.1707,0.6125,0.4338,0.5878
2020,James Conner,PIT,25,169,1.9882,0.1006,0.3247,-0.4572,1.1416,0.9968,0.3859,0.4464
2020,Devin Singletary,BUF,23,156,2.8782,0.0577,-0.2502,1.7841,-0.5853,-0.9707,0.3846,-0.0824
2020,Tony Pollard,DAL,23,101,2.4653,0.0792,-0.0249,0.7443,0.2802,-0.1996,0.3691,0.2217
2020,Brian Hill,ATL,25,100,2.57,0.06,0.0938,1.008,-0.4927,0.2066,0.3574,0.7329
2020,Gus Edwards,BAL,25,144,2.7014,0.0764,-0.3132,1.3389,0.1674,-1.1863,0.3561,-0.1919
2020,James Robinson,JAX,22,240,2.5625,0.0667,-0.033,0.9891,-0.223,-0.2274,0.3213,0.0455
2020,Damien Harris,NWE,23,137,1.9124,0.0876,0.4921,-0.6481,0.6183,1.5697,0.2863,0.2197
2020,Chris Carson,SEA,26,141,2.1702,0.0709,0.3558,0.0011,-0.054,1.1033,0.2601,0.4785
2020,Miles Sanders,PHI,23,164,2.2561,0.0549,0.2823,0.2174,-0.6981,0.8517,0.1014,0.4305
2020,Clyde Edwards-Helaire,KAN,21,181,2.1215,0.0829,0.0491,-0.1215,0.4291,0.0536,0.0874,0.2086
2020,Jonathan Taylor,IND,21,232,2.0647,0.0647,0.3433,-0.2646,-0.3035,1.0605,0.055,0.4349
2020,Jeff Wilson,SFO,25,126,2.1667,0.0714,0.02,-0.0077,-0.0338,-0.046,-0.0251,0.4242
2020,Kareem Hunt,CLE,25,198,2.3485,0.0909,-0.5431,0.4501,0.7512,-1.9731,-0.0654,-0.6738
2020,Melvin Gordon,DEN,27,215,2.1209,0.0744,-0.0833,-0.123,0.0869,-0.3995,-0.1292,0.0995
2020,D'Andre Swift,DET,21,114,1.6667,0.0789,0.4329,-1.2669,0.2681,1.3671,-0.1479,0.5114
2020,Ezekiel Elliott,DAL,25,244,2.1352,0.0615,0.0106,-0.087,-0.4324,-0.0782,-0.1884,-0.0729
2020,David Johnson,HOU,29,147,1.966,0.0476,0.4212,-0.5131,-0.9919,1.3271,-0.1967,0.661
2020,Raheem Mostert,SFO,28,104,1.6827,0.0481,0.7517,-1.2266,-0.9718,2.4582,-0.229,0.6719
2020,Darrell Henderson,LAR,23,138,2.0435,0.058,0.046,-0.318,-0.5733,0.043,-0.3043,0.178
2020,Todd Gurley,ATL,26,195,1.7897,0.0974,-0.299,-0.9571,1.0128,-1.1377,-0.4113,-0.4402
2020,Josh Jacobs,LVR,22,273,1.978,0.0733,-0.2114,-0.4829,0.0427,-0.8379,-0.414,-0.2233
2020,Malcolm Brown,LAR,27,101,1.4653,0.0693,0.2509,-1.7741,-0.1184,0.7442,-0.6478,-0.1952
2020,Cam Akers,LAR,21,145,2.0966,0.0414,-0.2185,-0.1842,-1.2415,-0.8622,-0.6709,-0.0334
2020,Kenyan Drake,ARI,26,239,1.6987,0.0669,-0.0994,-1.1863,-0.215,-0.4546,-0.712,-0.161
2020,Myles Gaskin,MIA,23,142,2.0211,0.0423,-0.2737,-0.3744,-1.2053,-1.0511,-0.7928,0.2054
2020,Giovani Bernard,CIN,29,124,1.8306,0.0645,-0.3373,-0.8541,-0.3116,-1.2688,-0.795,-0.5668
2020,Jamaal Williams,GNB,25,119,1.916,0.042,-0.15,-0.639,-1.2174,-0.6278,-0.8097,-0.8114
2020,Adrian Peterson,DET,35,156,1.6538,0.0705,-0.2526,-1.2994,-0.0701,-0.9789,-0.8505,-0.187
2020,Latavius Murray,NOR,30,146,2.0068,0.0274,-0.1205,-0.4104,-1.8051,-0.5268,-0.8579,-0.1621
2020,Frank Gore,NYJ,37,187,2.0,0.0428,-0.3563,-0.4275,-1.1851,-1.3338,-0.8814,-0.3929
2020,Phillip Lindsay,DEN,26,118,1.5763,0.0424,0.1296,-1.4945,-1.2013,0.3291,-0.9506,-0.2323
2020,Benny Snell Jr.,PIT,22,111,1.8739,0.0541,-0.512,-0.7451,-0.7303,-1.8667,-1.021,-0.5046
2020,Joe Mixon,CIN,24,119,1.6975,0.0252,0.0377,-1.1893,-1.8937,0.0146,-1.0996,-0.325
2020,Joshua Kelley,LAC,23,111,1.5315,0.0631,-0.476,-1.6073,-0.368,-1.7435,-1.2696,-0.7183
2021,Rashaad Penny,SEA,25,119,3.1345,0.084,0.5296,2.8189,0.5508,1.5064,1.8104,1.3143
2021,Nick Chubb,CLE,26,228,3.0351,0.1009,-0.0289,2.5673,1.1609,-0.2291,1.4463,0.2023
2021,Javonte Williams,DEN,21,203,2.266,0.1527,-0.0913,0.6203,3.0306,-0.4231,1.0825,-0.0626
2021,Rhamondre Stevenson,NWE,23,133,2.6767,0.1203,-0.2747,1.66,1.8611,-0.993,1.0571,0.0564
2021,D'Ernest Johnson,CLE,25,100,2.35,0.1,0.4743,0.833,1.1284,1.3345,1.047,0.0204
2021,Jonathan Taylor,IND,22,332,2.8343,0.0753,0.0727,2.059,0.2368,0.0866,1.0192,0.2823
2021,Miles Sanders,PHI,24,137,2.0657,0.0876,0.5761,0.1133,0.6808,1.6509,0.6679,0.7083
2021,Tony Pollard,DAL,24,130,2.4692,0.0538,0.4072,1.1347,-0.5392,1.126,0.6304,0.8542
2021,Melvin Gordon,DEN,28,203,2.2463,0.0985,0.0023,0.5704,1.0742,-0.1322,0.5459,0.0113
2021,Najee Harris,PIT,23,307,2.1987,0.0977,0.0397,0.4499,1.0453,-0.016,0.5121,0.1742
2021,Elijah Mitchell,SFO,23,207,2.4879,0.0773,-0.1403,1.1821,0.309,-0.5753,0.4808,0.2757
2021,Devin Singletary,BUF,24,188,2.3457,0.0691,0.1755,0.8221,0.013,0.406,0.4754,0.3051
2021,Damien Harris,NWE,24,202,2.2772,0.0743,0.1674,0.6487,0.2007,0.3809,0.4473,0.099
2021,Aaron Jones,GNB,27,171,2.2807,0.0702,0.1591,0.6575,0.0527,0.3551,0.4005,0.2863
2021,Michael Carter,NYJ,22,147,2.3469,0.0884,-0.2239,0.8251,0.7097,-0.8351,0.3754,0.1598
2021,AJ Dillon,GNB,23,187,2.1765,0.0909,-0.1151,0.3937,0.7999,-0.497,0.2929,-0.0921
2021,D'Onta Foreman,TEN,25,133,2.2481,0.0827,-0.1995,0.575,0.5039,-0.7593,0.2201,-0.1088
2021,Leonard Fournette,TAM,26,180,2.3111,0.0611,-0.0107,0.7345,-0.2757,-0.1726,0.2047,0.0719
2021,Chase Edmonds,ARI,25,116,1.5345,0.0431,1.3003,-1.2315,-0.9254,3.9013,0.1435,0.9622
2021,James Robinson,JAX,23,164,1.9329,0.0671,0.3723,-0.2229,-0.0592,1.0176,0.1363,0.4809
2021,Josh Jacobs,LVR,23,217,2.0369,0.0922,-0.1402,0.0403,0.8468,-0.575,0.1285,-0.0019
2021,Khalil Herbert,CHI,23,103,1.8058,0.0874,0.23,-0.5447,0.6736,0.5754,0.1008,0.2743
2021,Dalvin Cook,MIN,26,249,1.9317,0.0643,0.3606,-0.226,-0.1602,0.9812,0.0956,0.3345
2021,Austin Ekeler,LAC,26,206,2.1068,0.0631,-0.1305,0.2173,-0.2035,-0.5449,-0.0995,0.1541
2021,Antonio Gibson,WAS,23,258,1.9496,0.0736,-0.059,-0.1807,0.1755,-0.3227,-0.1093,-0.069
2021,Derrick Henry,TEN,27,219,2.2237,0.0457,-0.1522,0.5132,-0.8316,-0.6123,-0.1716,-0.0859
2021,James Conner,ARI,26,202,2.0842,0.0941,-0.6301,0.1601,0.9154,-2.0974,-0.1777,-0.4185
2021,Sony Michel,LAR,26,208,1.9231,0.0769,-0.1759,-0.2477,0.2946,-0.686,-0.1946,-0.1343
2021,Joe Mixon,CIN,25,292,1.8596,0.0685,0.0112,-0.4085,-0.0086,-0.1045,-0.2125,-0.0395
2021,Latavius Murray,BAL,31,119,1.7647,0.084,-0.0718,-0.6487,0.5508,-0.3625,-0.2173,0.0076
2021,Alexander Mattison,MIN,23,134,1.9776,0.1045,-0.6757,-0.1098,1.2908,-2.2391,-0.2219,-0.6559
2021,Alvin Kamara,NOR,26,240,1.4542,0.0917,0.2657,-1.4348,0.8288,0.6863,-0.2254,0.164
2021,Ronald Jones II,TAM,24,101,1.8416,0.0495,0.1854,-0.4541,-0.6944,0.4368,-0.3035,-0.2015
