year,player,team,LINX_loo,ol_adj_loo
2019,David Montgomery,CHI,-0.22265915999378236,0.04958677685950397
2019,Aaron Jones,GNB,0.45560097342685113,-0.11234753682876608
2019,Phillip Lindsay,DEN,0.39498318033198787,0.8434794372294372
2019,Todd Gurley,LAR,-0.2540180883792331,0.3696229862149143
2019,Saquon Barkley,NYG,0.6294027853403737,0.3102918586789556
2019,Adrian Peterson,WAS,-0.14485573748577363,0.05964056121251948
2019,Mark Ingram,BAL,0.4812427435352258,0.03716759110466006
2019,Devonta Freeman,ATL,-0.8465876126733497,-0.1337312900926586
2019,Miles Sanders,PHI,0.12075350134053342,0.41840066931152675
2019,Ronald Jones II,TAM,0.9031186524875113,0.5298449612403102
2019,Alvin Kamara,NOR,0.845755631130111,-0.35544340302811817
2019,Kenyan Drake,ARI,0.0007434324614222776,0.9143173899271462
2019,Frank Gore,BUF,-0.7113083104798548,-0.9813539873780837
2019,Melvin Gordon,LAC,-0.6680685240212317,-0.07992202729044862
2019,Peyton Barber,TAM,-0.8820642047477742,-0.39117166986019436
2019,Devin Singletary,BUF,1.13558154333609,1.232367097311186
2019,Latavius Murray,NOR,-0.42154947388168307,0.35544340302811817
2019,Tevin Coleman,SFO,-1.4781458418064553,-0.7017726798748694
2019,Raheem Mostert,SFO,0.2551992673631529,0.603041786413693
2019,Gus Edwards,BAL,0.4062027304743283,0.13802776171197229
2019,Austin Ekeler,LAC,0.2230380165349831,-0.3343509724106739
2019,Royce Freeman,DEN,-0.7883650938035839,-0.8434794372294372
2019,Matt Breida,SFO,-0.43697631037937607,0.29487075601653023
2019,Jordan Howard,PHI,-0.39240684429940864,-0.3175337550750639
2019,James Conner,PIT,-0.09644505929256925,0.4700626959247649
2019,Kerryon Johnson,DET,-0.4237107939450675,-0.35862831858407085
2019,Damien Williams,KAN,1.1821923738645022,-0.8980970766685052
2019,Benny Snell Jr.,PIT,0.2936879996146178,-0.36890838206627685
2019,DeAndre Washington,OAK,-0.7544474471821437,-0.2599841834717278
2019,Jamaal Williams,GNB,-0.6971368144959204,0.11234753682876608
2019,LeSean McCoy,KAN,-0.08093761045428655,1.1625973276939345
2019,Alexander Mattison,MIN,0.200516501015174,0.46813664596273297
2020,Derrick Henry,TEN,1.1154926650487789,0.37923121055651166
2020,Dalvin Cook,MIN,0.8660288402913785,0.44581236520488865
2020,Josh Jacobs,LVR,-0.5302756689338786,-0.7899665551839463
2020,David Montgomery,CHI,0.05344965136239277,-1.7709658762290343
2020,Ezekiel Elliott,DAL,-0.15480226980170791,0.03546502191202716
2020,James Robinson,JAX,0.22574700563341932,-0.35416666666666674
2020,Kenyan Drake,ARI,-0.7555845865808346,-0.3936505197774234
2020,Jonathan Taylor,IND,0.1287560870140107,0.8238489136934422
2020,Melvin Gordon,DEN,-0.11924334560671931,-0.2146222830217357
2020,Aaron Jones,GNB,0.9021712791904923,0.15962323215383734
2020,Kareem Hunt,CLE,-0.010050212913880585,-1.0471984418172757
2020,Todd Gurley,ATL,-0.4177629103838003,-0.7054585496303287
2020,Ronald Jones II,TAM,0.7932460866287102,0.1423088972431079
2020,Nick Chubb,CLE,1.3926894417209992,0.8613807245386194
2020,Frank Gore,NYJ,-0.8528493826650494,-0.7489852457960182
2020,Alvin Kamara,NOR,0.48466877859495794,0.326532854735917
2020,Clyde Edwards-Helaire,KAN,0.09837408400712358,0.06685511156794721
2020,Antonio Gibson,WAS,0.7401969681554637,0.8193558987840945
2020,James Conner,PIT,0.4133992892279818,0.6808842866535172
2020,Mike Davis,CAR,0.7427071489820067,-0.4474416294088426
2020,Miles Sanders,PHI,0.06295103339132944,0.42652740883844453
2020,Adrian Peterson,DET,-0.7967430957891807,-0.4748223663886315
2020,Devin Singletary,BUF,0.3953286702141362,-0.5415231534634519
2020,Wayne Gallman,NYG,0.4247808779227915,0.3615841240954982
2020,David Johnson,HOU,-0.1021300424890384,1.0259560134733505
2020,Latavius Murray,NOR,-0.854936779236203,-0.326532854735917
2020,Cam Akers,LAR,-0.5974451509769919,-0.3510604530370798
2020,Gus Edwards,BAL,0.4292953151619661,-0.520005096839959
2020,Myles Gaskin,MIA,-0.7185357114413697,-0.4651009505307706
2020,Chris Carson,SEA,0.259176473191334,0.6714087876117336
2020,Darrell Henderson,LAR,-0.28460211607509406,0.07175680452456668
2020,Damien Harris,NWE,0.23152015678873725,0.8225633319021042
2020,J.K. Dobbins,BAL,0.9070236333064357,0.6899711966483371
2020,Jeff Wilson,SFO,-0.005478994276149293,0.023809523809523725
2020,Giovani Bernard,CIN,-0.6963061555168143,-0.5383064516129032
2020,Joe Mixon,CIN,-1.069212000663173,0.05878407701108612
2020,Jamaal Williams,GNB,-0.7344948562161466,-0.21073044602456337
2020,Phillip Lindsay,DEN,-0.9493487444821097,0.18196610169491523
2020,Austin Ekeler,LAC,0.6539384825233867,0.3131552355690288
2020,D'Andre Swift,DET,-0.20499898395989768,0.6823549257759782
2020,Zack Moss,BUF,0.8802065468468151,0.11787720706260041
2020,Joshua Kelley,LAC,-1.1016442036019347,-0.6660833495365872
2020,Benny Snell Jr.,PIT,-0.8851460121794457,-0.8110338060833109
2020,Raheem Mostert,SFO,-0.4120741273355312,1.031302638966873
2020,Malcolm Brown,LAR,-0.6867086509706952,0.3404121330861001
2020,Tony Pollard,DAL,0.3979017828969565,-0.03546502191202716
2020,Brian Hill,ATL,0.3413237039940691,0.09937984496124042
2021,Jonathan Taylor,IND,1.1013560490863832,0.32151285554589526
2021,Najee Harris,PIT,0.5850664618871321,0.2309310532030402
2021,Joe Mixon,CIN,-0.1906186463488948,0.04873248307353162
2021,Antonio Gibson,WAS,-0.11067315244825426,-0.12572127994404614
2021,Dalvin Cook,MIN,0.2496295464540941,0.9677895254487339
2021,Alvin Kamara,NOR,-0.10325400414818742,0.7219262295081967
2021,Ezekiel Elliott,DAL,-0.8388655759485149,-0.33838109290466223
2021,Nick Chubb,CLE,1.407587017492314,-0.11989946777055005
2021,David Montgomery,CHI,-0.47850866314902707,-0.6534265734265734
2021,Derrick Henry,TEN,-0.18806472098054924,-0.32263738606684056
2021,Josh Jacobs,LVR,0.09917705524325185,-0.32351792548621416
2021,Sony Michel,LAR,-0.29586095449621563,-0.5585635002581308
2021,Elijah Mitchell,SFO,0.47858059483482845,-0.25486643932935493
2021,Austin Ekeler,LAC,-0.13481823704150467,-0.3268017858408334
2021,Melvin Gordon,DEN,0.5869260130313305,0.09359605911330071
2021,Javonte Williams,DEN,1.1074609633016823,-0.09359605911330071
2021,James Conner,ARI,-0.33364233541533417,-1.4747194719471948
2021,Damien Harris,NWE,0.4664245696929045,0.3314909160818993
2021,Devin Singletary,BUF,0.5392425343514207,0.4458493198465294
2021,AJ Dillon,GNB,0.28839200585742153,-0.22058823529411775
2021,Leonard Fournette,TAM,0.22242003211496833,0.010218978102189968
2021,Myles Gaskin,MIA,-0.8482865544567945,0.3285360386929339
2021,Chuba Hubbard,CAR,-0.5026947836104534,-0.34359047078842875
2021,Aaron Jones,GNB,0.405144923632578,0.28272195640616715
2021,James Robinson,JAX,0.20974039807300104,0.805440900562852
2021,Saquon Barkley,NYG,-1.0430801175185733,-0.4700124187303676
2021,Cordarrelle Patterson,ATL,-0.39507125382678576,-0.004159239453357166
2021,Jamaal Williams,DET,-0.7050360472490217,0.05321738179232627
2021,D'Andre Swift,DET,-0.6105970298983772,0.1388804924294469
2021,Darrell Henderson,LAR,-0.4170403017358026,0.5585635002581308
2021,Michael Carter,NYJ,0.38133330328177073,-0.3859649122807016
2021,Devontae Booker,NYG,-0.8542455859164063,0.5909899888765295
2021,Darrel Williams,KAN,-1.1837140273143643,-0.29532967032967017
2021,Mike Davis,ATL,-0.5716154081066523,-0.2616587745731096
2021,Miles Sanders,PHI,0.6150842458268083,0.8867751020173573
2021,Alexander Mattison,MIN,-0.14356994969700432,-1.0233564999430331
2021,D'Onta Foreman,TEN,0.24311286041867758,-0.30735000767224196
2021,Devonta Freeman,BAL,-0.8703836354436911,0.4381223328591748
2021,Rhamondre Stevenson,NWE,1.085088452014099,-0.40757347915242637
2021,Tony Pollard,DAL,0.5930799725190076,0.6245014245014242
2021,Rex Burkhead,HOU,-0.7660137130240883,0.21721311475409832
2021,Clyde Edwards-Helaire,KAN,-0.4022802227830632,0.08939227865059074
2021,Latavius Murray,BAL,-0.2152209571021717,-0.14256154723195813
2021,Rashaad Penny,SEA,1.7469899048454862,0.8072409580572315
2021,Chase Edmonds,ARI,0.003562804628660987,1.9418468731735827
2021,Alex Collins,SEA,-0.9139626596524277,-0.6198257080610023
2021,Khalil Herbert,CHI,0.06663158464974307,0.3112657995969954
2021,Ronald Jones II,TAM,-0.3064159502546,0.2941877521085443
2021,D'Ernest Johnson,CLE,0.9415031943291834,0.5978431372549022
2022,Derrick Henry,TEN,0.6397572980653178,-0.8612448942266657
2022,Josh Jacobs,LVR,1.0379149302540234,-0.17058823529411749
2022,Nick Chubb,CLE,1.3904108023558743,0.8540354277714963
2022,Saquon Barkley,NYG,-0.14487564751428658,-0.20219341974077754
2022,Najee Harris,PIT,-0.4187856132058767,-0.9302228623408126
2022,Dalvin Cook,MIN,0.03302870019614862,0.31040131040131014
2022,Jamaal Williams,DET,-0.6473832454574704,-0.8241016570471049
2022,Miles Sanders,PHI,-0.23666530675606598,0.06343593259481128
2022,Christian McCaffrey,SFO,-0.30410358292345563,-0.15208437691322985
2022,Ezekiel Elliott,DAL,-0.7558746198612949,-0.44588744588744555
2022,Kenneth Walker III,SEA,-0.140220891123902,-0.348624940730204
2022,Alvin Kamara,NOR,-0.0683623456768113,-0.10706278026905824
2022,Travis Etienne,JAX,0.21976576886151228,0.4912361020274689
2022,Dameon Pierce,HOU,1.2284846379606753,-0.12356130108423669
2022,Aaron Jones,GNB,0.8884291318486963,0.6506179936763439
2022,Tyler Allgeier,ATL,-0.09044117803331296,-0.05867768595041323
2022,Joe Mixon,CIN,-0.6621168462039162,-0.03734335839599012
2022,Rhamondre Stevenson,NWE,0.9097062811840285,-0.04087301587301573
2022,Brian Robinson Jr.,WAS,-0.37125427506195474,0.042601626016260496
2022,Austin Ekeler,LAC,0.18291196581001762,0.8799019607843139
2022,D'Onta Foreman,CAR,0.07778261373948381,-0.2068965517241379
2022,David Montgomery,CHI,0.2594651912129924,-0.7695057645902228
2022,Tony Pollard,DAL,1.135423245481734,0.2359342797156998
2022,Jonathan Taylor,IND,1.0089481728425032,0.24731359649122808
2022,Leonard Fournette,TAM,-0.9578526332564666,-0.41719214321954023
2022,Cam Akers,LAR,0.267478069698536,-0.6425791385573429
2022,AJ Dillon,GNB,-0.6436344558617362,-0.5151887747721684
2022,James Conner,ARI,-0.16532132912751007,0.2081843954147664
2022,Raheem Mostert,MIA,0.8379201210034625,0.34899955203822586
2022,Devin Singletary,BUF,-0.7405495627515455,-0.6699712184202107
2022,Latavius Murray,DEN,-0.24627064813287644,0.4442118226600984
2022,Isiah Pacheco,KAN,-0.03585761298030632,0.9025735294117645
2022,Antonio Gibson,WAS,-0.6973287565901232,-0.02916238744655919
2022,Cordarrelle Patterson,ATL,-0.16241018312516675,-0.08279220779220786
2022,Khalil Herbert,CHI,1.6186442801922813,1.1819921507573543
2022,Rachaad White,TAM,-0.7725057971045233,0.3884624068638516
2022,Kareem Hunt,CLE,-0.368890037437881,-0.8540354277714963
2022,Michael Carter,NYJ,-1.1421755550693469,-0.6851503759398496
2022,Kenyan Drake,BAL,-1.427883101263283,-0.001891195879607288
2022,Damien Harris,NWE,-0.535307986188183,-0.015139987827145873
2023,Derrick Henry,TEN,0.20724769419308461,-0.34857142857142875
2023,Christian McCaffrey,SFO,0.5343343996773202,0.9795076726342713
2023,Rachaad White,TAM,-0.7474593823006165,0.6497326203208553
2023,Travis Etienne,JAX,0.1730092312382448,0.5746388443017658
2023,Joe Mixon,CIN,-0.6529033340961756,0.9329288399393261
2023,Najee Harris,PIT,0.5619999780200623,-1.2304776944334783
2023,Tony Pollard,DAL,0.15159193411577498,0.10714285714285698
2023,Saquon Barkley,NYG,-0.0774297595292017,0.3877642825011245
2023,Chuba Hubbard,CAR,-0.05950112097393469,0.3118352235999293
2023,James Cook,BUF,-0.055309939667071234,0.5268108298171588
2023,Josh Jacobs,LVR,-0.8786948499945061,-0.20723482526057624
2023,D'Andre Swift,PHI,0.09550501938986074,0.42958040630339855
2023,Kyren Williams,LAR,0.7769153199806313,1.3038209931608684
2023,Breece Hall,NYJ,0.5532107220270643,0.3208041517609712
2023,David Montgomery,DET,0.3740891758113145,-0.31689088191330317
2023,Kenneth Walker III,SEA,-0.1693742581981634,0.16268090705053817
2023,Javonte Williams,DEN,-0.7886919903261429,-0.8528917943771657
2023,Devin Singletary,HOU,-0.20843148778928539,1.3049169859514687
2023,Bijan Robinson,ATL,0.23528422750185607,0.9084428956122286
2023,Raheem Mostert,MIA,0.10088358659423002,-0.7989913358334415
2023,James Conner,ARI,0.9157475147610499,0.2694597069597071
2023,Isiah Pacheco,KAN,0.1511202652275344,0.6917763867904168
2023,Jerome Ford,CLE,0.3257907865724526,0.11105327086586847
2023,Gus Edwards,BAL,-0.6571386269642828,-1.138647622724056
2023,Tyler Allgeier,ATL,-0.20123041698284783,-0.7795698924731183
2023,Ezekiel Elliott,NWE,-0.8187738465403664,0.11729019211324565
2023,Zack Moss,IND,-0.2939193333976404,0.679638869090045
2023,Jahmyr Gibbs,DET,1.1942525891920368,0.3104395604395602
2023,Alvin Kamara,NOR,-0.526536683380002,0.6361111111111111
2023,Alexander Mattison,MIN,-0.8039671790524101,-0.38730158730158726
2023,Austin Ekeler,LAC,-0.5184103702882275,0.07545779019242715
2023,AJ Dillon,GNB,-0.9836251672593077,-0.7794047334448961
2023,Brian Robinson Jr.,WAS,0.1591125147701381,0.053467648198372686
2023,Jonathan Taylor,IND,0.7941029367983541,-0.6378407216994857
2023,Rhamondre Stevenson,NWE,0.16257935412766364,0.09243589743589742
2023,Jaylen Warren,PIT,1.9386994086217606,1.2304776944334783
2023,Dameon Pierce,HOU,-0.7737883361756303,-1.3049169859514687
2023,Aaron Jones,GNB,0.5414218041934078,0.3687751509054329
2023,Kareem Hunt,CLE,-1.5266327213452584,-0.553546767106089
2023,Khalil Herbert,CHI,0.4514580896125037,-0.02121212121212146
2023,Miles Sanders,CAR,-0.48756915566076475,-0.3518826135105204
