player,season_pair,year_t,team_t,team_t1,same_team,age_t,LINX_t,LINX_t1,z_yac_t,z_brk_t,z_ol_t,ol_delta,ypc_above_t,ypc_above_t1
James Robinson,2020-2021,2020,JAX,JAX,1,22,0.3213,0.1363,0.9891,-0.223,-0.2274,0.4053,0.0455,0.4809
Joe Mixon,2020-2021,2020,CIN,CIN,1,24,-1.0996,-0.2125,-1.1893,-1.8937,0.0146,-0.0265,-0.325,-0.0395
Jonathan Taylor,2020-2021,2020,IND,IND,1,21,0.055,1.0192,-0.2646,-0.3035,1.0605,-0.2706,0.4349,0.2823
Josh Jacobs,2020-2021,2020,LVR,LVR,1,22,-0.414,0.1285,-0.4829,0.0427,-0.8379,0.0712,-0.2233,-0.0019
Latavius Murray,2020-2021,2020,NOR,BAL,0,30,-0.8579,-0.2173,-0.4104,-1.8051,-0.5268,0.0487,-0.1621,0.0076
Melvin Gordon,2020-2021,2020,DEN,DEN,1,27,-0.1292,0.5459,-0.123,0.0869,-0.3995,0.0856,0.0995,0.0113
Mike Davis,2020-2021,2020,CAR,ATL,0,27,0.7482,-0.5893,0.6103,2.2165,-0.7654,0.0347,-0.029,-0.2668
Miles Sanders,2020-2021,2020,PHI,PHI,1,23,0.1014,0.6679,0.2174,-0.6981,0.8517,0.2938,0.4305,0.7083
Myles Gaskin,2020-2021,2020,MIA,MIA,1,23,-0.7928,-0.8744,-0.3744,-1.2053,-1.0511,0.448,0.2054,-0.0813
Nick Chubb,2020-2021,2020,CLE,CLE,1,25,1.4367,1.4463,1.3089,1.5402,1.5427,-0.5131,0.6945,0.2023
Ronald Jones II,2020-2021,2020,TAM,TAM,1,23,0.7661,-0.3035,2.1959,-0.8108,0.0848,0.1272,0.5245,-0.2015
Tony Pollard,2020-2021,2020,DAL,DAL,1,23,0.3691,0.6304,0.7443,0.2802,-0.1996,0.4321,0.2217,0.8542
AJ Dillon,2021-2022,2021,GNB,GNB,1,23,0.2929,-0.7104,0.3937,0.7999,-0.497,-0.1641,-0.0921,-0.5651
Aaron Jones,2021-2022,2021,GNB,GNB,1,27,0.4005,0.881,0.6575,0.0527,0.3551,0.1544,0.2863,0.558
Alvin Kamara,2021-2022,2021,NOR,NOR,1,26,-0.2254,-0.0698,-1.4348,0.8288,0.6863,-0.2938,0.164,0.1236
Antonio Gibson,2021-2022,2021,WAS,WAS,1,23,-0.1093,-0.7347,-0.1807,0.1755,-0.3227,0.0399,-0.069,-0.2146
Austin Ekeler,2021-2022,2021,LAC,LAC,1,26,-0.0995,0.0959,0.2173,-0.2035,-0.5449,0.4825,0.1541,0.4618
Cordarrelle Patterson,2021-2022,2021,ATL,ATL,1,30,-0.4057,-0.1922,-0.2682,-0.828,-0.1465,-0.0412,0.1275,-0.0348
D'Onta Foreman,2021-2022,2021,TEN,CAR,0,25,0.2201,0.029,0.575,0.5039,-0.7593,0.0751,-0.1088,-0.059
Dalvin Cook,2021-2022,2021,MIN,MIN,1,26,0.0956,0.0057,-0.226,-0.1602,0.9812,-0.2181,0.3345,0.2222
Damien Harris,2021-2022,2021,NWE,NWE,1,24,0.4473,-0.5688,0.6487,0.2007,0.3809,-0.178,0.099,-0.3392
David Montgomery,2021-2022,2021,CHI,CHI,1,24,-0.3929,0.2548,-0.4244,0.0852,-0.91,-0.1012,-0.1562,-0.4986
Derrick Henry,2021-2022,2021,TEN,TEN,1,27,-0.1716,0.9587,0.5132,-0.8316,-0.6123,0.0746,-0.0859,-0.0151
Devin Singletary,2021-2022,2021,BUF,BUF,1,24,0.4754,-0.6036,0.8221,0.013,0.406,-0.3244,0.3051,-0.2457
Ezekiel Elliott,2021-2022,2021,DAL,DAL,1,26,-0.8223,-0.8005,-0.7475,-1.1095,-0.6123,-0.0707,-0.4487,-0.632
Jamaal Williams,2021-2022,2021,DET,DET,1,26,-0.7174,-0.6053,-1.4925,-0.1205,-0.0387,-0.3497,-0.2556,-0.3444
James Conner,2021-2022,2021,ARI,ARI,1,26,-0.1777,-0.2024,0.1601,0.9154,-2.0974,0.7177,-0.4185,0.1656
Joe Mixon,2021-2022,2021,CIN,CIN,1,25,-0.2125,-0.6702,-0.4085,-0.0086,-0.1045,-0.0052,-0.0395,-0.1045
Jonathan Taylor,2021-2022,2021,IND,IND,1,22,1.0192,1.0042,2.059,0.2368,0.0866,0.0503,0.2823,0.2828
Josh Jacobs,2021-2022,2021,LVR,LVR,1,23,0.1285,1.0855,0.0403,0.8468,-0.575,0.1164,-0.0019,0.0761
Khalil Herbert,2021-2022,2021,CHI,CHI,1,23,0.1008,1.8258,-0.5447,0.6736,0.5754,0.5377,0.2743,1.183
Latavius Murray,2021-2022,2021,BAL,DEN,0,31,-0.2173,-0.2123,-0.6487,0.5508,-0.3625,0.3418,0.0076,0.1976
Leonard Fournette,2021-2022,2021,TAM,TAM,1,26,0.2047,-1.0019,0.7345,-0.2757,-0.1726,-0.1955,0.0719,-0.0516
Michael Carter,2021-2022,2021,NYJ,NYJ,1,22,0.3754,-1.3111,0.8251,0.7097,-0.8351,-0.2302,0.1598,-0.6453
Miles Sanders,2021-2022,2021,PHI,PHI,1,24,0.6679,-0.2846,0.1133,0.6808,1.6509,-0.5673,0.7083,0.1578
Najee Harris,2021-2022,2021,PIT,PIT,1,23,0.5121,-0.2542,0.4499,1.0453,-0.016,-0.289,0.1742,-0.2865
Nick Chubb,2021-2022,2021,CLE,CLE,1,26,1.4463,1.2853,2.5673,1.1609,-0.2291,0.3356,0.2023,0.4227
Rhamondre Stevenson,2021-2022,2021,NWE,NWE,1,23,1.0571,0.9008,1.66,1.8611,-0.993,0.2581,0.0564,0.2546
Saquon Barkley,2021-2022,2021,NYG,NYG,1,24,-1.0404,-0.1189,-0.7563,-1.5896,-0.8929,0.1973,-0.222,0.0448
Tony Pollard,2021-2022,2021,DAL,DAL,1,24,0.6304,1.1522,1.1347,-0.5392,1.126,-0.2698,0.8542,0.7934
AJ Dillon,2022-2023,2022,GNB,GNB,1,24,-0.7104,-0.9557,-0.4389,-0.7681,-1.1301,-0.1095,-0.5651,-0.6241
Aaron Jones,2022-2023,2022,GNB,GNB,1,28,0.881,0.5814,1.1158,0.2077,1.2664,-0.0761,0.558,0.5518
Alvin Kamara,2022-2023,2022,NOR,NOR,1,27,-0.0698,-0.5473,0.4411,-0.7987,-0.1148,0.3352,0.1236,0.3326
Austin Ekeler,2022-2023,2022,LAC,LAC,1,27,0.0959,-0.5082,0.1119,-1.0333,1.4221,-0.3055,0.4618,0.0374
