year,player,team,age,att,yac_att,brk_rate,ybc_att,ol_adj_ybc,ypc_above_team
2021,Ezekiel Elliott,DAL,26,237,1.7257,0.038,2.5021,-0.1522,-0.4487
2021,Nick Chubb,CLE,26,228,3.0351,0.1009,2.4868,-0.0289,0.2023
2021,David Montgomery,CHI,24,225,1.8533,0.0711,1.92,-0.248,-0.1562
2021,Derrick Henry,TEN,27,219,2.2237,0.0457,2.0548,-0.1522,-0.0859
2021,Josh Jacobs,LVR,23,217,2.0369,0.0922,1.9816,-0.1402,-0.0019
2021,Sony Michel,LAR,26,208,1.9231,0.0769,2.1394,-0.1759,-0.1343
2021,Elijah Mitchell,SFO,23,207,2.4879,0.0773,2.1643,-0.1403,0.2757
2021,Austin Ekeler,LAC,26,206,2.1068,0.0631,2.3155,-0.1305,0.1541
2021,Melvin Gordon,DEN,28,203,2.2463,0.0985,2.2759,0.0023,0.0113
2021,Javonte Williams,DEN,21,203,2.266,0.1527,2.1823,-0.0913,-0.0626
2021,James Conner,ARI,26,202,2.0842,0.0941,1.6386,-0.6301,-0.4185
2021,Damien Harris,NWE,24,202,2.2772,0.0743,2.3218,0.1674,0.099
2021,Devin Singletary,BUF,24,188,2.3457,0.0691,2.2819,0.1755,0.3051
2021,AJ Dillon,GNB,23,187,2.1765,0.0909,2.1176,-0.1151,-0.0921
2021,Leonard Fournette,TAM,26,180,2.3111,0.0611,2.2,-0.0107,0.0719
2021,Myles Gaskin,MIA,24,173,1.4335,0.0405,2.104,0.1743,-0.0813
2021,Chuba Hubbard,CAR,22,172,1.8895,0.0523,1.6686,-0.1741,-0.2134
2021,Aaron Jones,GNB,27,171,2.2807,0.0702,2.3918,0.1591,0.2863
2021,James Robinson,JAX,23,164,1.9329,0.0671,2.7439,0.3723,0.4809
2021,Saquon Barkley,NYG,24,162,1.7222,0.0247,1.9383,-0.2425,-0.222
2021,Cordarrelle Patterson,ATL,30,153,1.915,0.0458,2.1242,-0.0023,0.1275
2021,Jamaal Williams,DET,26,153,1.4314,0.0654,2.4967,0.0324,-0.2556
2021,D'Andre Swift,DET,22,151,1.5364,0.0596,2.5497,0.0854,-0.0976
2021,Darrell Henderson,LAR,24,149,1.9195,0.0201,2.698,0.3826,0.4207
2021,Michael Carter,NYJ,22,147,2.3469,0.0884,2,-0.2239,0.1598
2021,Devontae Booker,NYG,29,145,1.5793,0.0138,2.5103,0.3296,0.2071
2021,Darrel Williams,KAN,26,144,1.5,0.0278,2.375,-0.137,-0.3735
2021,Mike Davis,ATL,28,138,1.6739,0.0652,1.971,-0.1555,-0.2668
2021,Miles Sanders,PHI,24,137,2.0657,0.0876,3.438,0.5761,0.7083
